Company,Position,StartDate,EndDate,Description,LogoPath
Digital Egypt Pioneers Initiative (DEPI) | Ministry of Communications and Information Technology,Cross-Platform Mobile App Development,07/2025,Present,"Intensive training program in cross-platform mobile development using Flutter, focusing on real-world project implementation and deployment.",
National Telecommunication Institute (NTI),Cross-Platform Mobile App Development,02/2026,02/2026,"Advanced certification in Flutter development covering state management, architecture patterns, and production deployment.",
